fact_one,caseNm,courtNm,judmnAdjuDe,caseNo
주식회사의 설립업무 또는 증자업무를 담당한 자와 주식인수인이 사전 공모하여 제3자로부터 차용한 돈으로 주금을 납입하고 설립등기절차 또는 증자등기절차 후 바로 인출하여 변제한 경우 업무상횡령죄 성립 여부 및 주금 납입으로 회사 자본이 실질적으로 증가한 것으로 볼 수 있는지 판단하는 기준갑 주식회사의 사실상 경영자인 피고인이 을에게서 돈을 차용하여 가장납입의 방법으로 갑 회사의 유상증자에 참여한 후 을이 납입한 주금 해당액을 바로 인출하여 자기앞수표로 반환하였는데 이후 회계감사에 대비하여 위 수표를 을에게서 잠시 돌려받아 갑 회사 계좌에 입금한 뒤 다시 해당 금액을 인출하여 변제한 사안에서 피고인에게 갑 회사의 돈을 임의로 유용한다는 불법영득의사가 존재한다고 볼 수 없는데도 이와 달리 판단한 원심판결에 법리오해의 위법이 있다고 한 사례이른바 ‘소송사기’를 사기죄로 인정하기 위한 요건 및 허위의 내용으로 소송을 제기한 경우 허위의 증거를 이용하지 않더라도 법원을 기망하는 수단이 될 수 있는지 여부갑 주식회사의 경영자인 피고인이 갑 회사와 을 주식회사 사이에 허위로 작성된 물품공급계약서에 따른 공급을 완료하였음을 전제로 을 회사를 상대로 물품대금 청구소송을 제기하면서 증거자료로 위 물품공급계약서를 제출하였다가 그 후 소송을 취하한 사안에서 피고인의 행위가 사기미수죄에 해당한다고 본 원심판단을 수긍한 사례,특정경제범죄가중처벌등에관한법률위반(횡령)·특정경제범죄가중처벌등에관한법률위반(배임)·유가증권위조·위조유가증권행사·사문서위조·위조사문서행사·공정증서원본불실기재·불실기재공정증서원본행사·사기미수·신용훼손·무고·범인은닉·사기·성폭력범죄의처벌및피해자보호등에관한법률위반(카메라등이용촬영)·상해·협박,대법원,2011.9.8.,2011도7262
사기죄의 구성요건 중 ‘처분행위’의 의의와 요건피고인이 피해자들을 기망하여 이자 지급 약정하에 대여금을 교부받았으나 이자를 지급하지 않은 사안에서 위 이자 부분에 대하여 피해자들의 별도의 처분행위가 있었다고 단정할 자료가 없는데도 사기죄를 인정한 원심판단에 심리미진이나 채증법칙 위반 또는 법리오해의 위법이 있다고 한 사례수인의 피해자에 대하여 단일한 범의하에 동일한 방법으로 각 피해자별로 기망행위를 한 경우 사기죄의 죄수 및 포괄일죄로 볼 수 있는 경우사기죄 피해자들의 피해 법익이 동일하다고 볼 근거가 없는데도 위 피해자들이 부부라는 사정만으로 이들에 대한 각 사기 행위가 포괄하여 일죄에 해당한다고 보아 특정경제범죄 가중처벌 등에 관한 법률을 적용한 원심판결에 죄수에 관한 심리미진 또는 법리오해의 위법이 있다고 한 사례,특정경제범죄가중처벌등에관한법률위반(사기)·사기,대법원,2011.4.14.,2011도769
피해자의 재산적 처분행위 또는 이를 유발한 피고인의 행위가 피고인이 도모하는 사업의 성패 내지 성과와 밀접하게 관련된 경우 사기죄 성립 여부에 관한 판단 방법갑 주식회사 운영자인 피고인이 회사 운영이 어려워 돈을 차용하거나 투자를 받더라도 갚을 의사나 능력이 없는데도 피해자들을 기망하여 회사 운영자금 명목으로 돈을 차용하여 편취하였다는 내용으로 기소된 사안에서 피고인이 피해자들을 기망하였다거나 피고인의 기망행위로 인하여 피해자들이 착오에 빠져 재산적 처분행위를 하였다고 볼 수 없는데도 이와 달리 보아 유죄를 인정한 원심판결에 법리오해의 위법이 있다고 한 사례,사기,대법원,2011.10.13.,2011도8829
부동산 소유자가 행방불명된 경우 그의 사망 및 상속인의 부존재에 관한 증명이나 민법  내지 에 의한 국가귀속 절차 없이 단순히 국유재산법 에 의한 무주부동산 처리절차를 거쳐 국유재산으로 등록된 부동산이 국가 소유로 귀속되는지 여부갑이 일제시대 사정받은 토지에 대하여 소유자 미복구를 원인으로 국가 명의의 소유권보존등기가 되어 있는 상태에서 피고인이 제1심 공동피고인과 공모하여 을이 사정명의인 갑의 소유권을 대습상속한 것처럼 상속인의 사망 시기 등을 조작한 다음 을을 원고로 하여 국가를 상대로 소유권보존등기 말소등기 청구소송을 제기하여 이를 일부 인용하는 취지의 화해권고결정이 확정된 사안에서 청구인용 부분에 대하여 피고인에게 사기죄와 사기미수죄를 인정한 원심판단을 수긍한 사례,특정경제범죄가중처벌등에관한법률위반(일부인정된죄명:사기·사기미수)·사기미수·공전자기록등불실기재·불실기재공전자기록등행사,대법원,2011.12.13.,2011도8873
구 조세범 처벌법 의2  의 죄와 같은 법   의 죄의 죄수 관계 및 구 특정범죄 가중처벌 등에 관한 법률 의2 의 죄와 같은 법  의 죄에도 동일한 법리가 적용되는지 여부피고인이 세금계산서합계표를 허위기재하여 정부에 제출하는 방법으로 부가가치세를 포탈하였다고 하며 구 특정범죄 가중처벌 등에 관한 법률 위반 등으로 기소된 사안에서 ‘허위기재 세금계산서합계표 제출행위’와 ‘사기 기타 부정한 행위로써 부가가치세를 포탈한 행위’가 별개의 행위로서 별개의 죄를 구성한다고 본 원심의 조치를 수긍한 사례,특정범죄가중처벌등에관한법률위반(조세)·특정범죄가중처벌등에관한법률위반(허위세금계산서교부등)·조세범처벌법위반,대법원,2011.12.8.,2011도9242
공동정범에서 공모관계의 성립 요건 및 피고인이 공모의 점을 부인하는 경우 증명 방법피고인이 갑 등과 공모하여 이른바 딱지어음을 대량 발행한 후 일정한 가격으로 시중에 유통시켰는데 을 등이 그 중 일부를 취득하여 이러한 사실을 숨긴 채 피해자들에게 교부하여 어음할인금을 편취하거나 채무이행의 유예를 받은 사안에서 피고인 등 딱지어음 발행인들과 을 등 딱지어음 취득자들 사이에 사기 범행에 관하여 공모관계가 성립되었다는 이유로 피고인에게 사기죄의 공동정범을 인정한 원심판단을 수긍한 사례,자본시장과금융투자업에관한법률위반·사기,대법원,2011.12.22.,2011도9721
구 지방세법 의4 의 입법 취지와 ‘사기 기타 부정한 행위’의 의미 및 어떠한 행위가 조세법상 ‘사기 기타 부정한 행위’에 해당하는지를 가림에 있어 형사처벌 법규의 구성요건에 준하여 엄격 해석해야 하는지 여부갑 주식회사가 임시주주총회 의사록과 이사회 회의록을 작성하여 정관을 변경하고 본점을 이전등기한 후 토지에 관하여 소유권이전등기를 마치면서 등록세 등을 신고·납부하였으나 관할 행정청이 위 소유권이전등기가 구 지방세법    등에 해당한다는 이유로 중과세하여 갑 회사에 등록세 등 부과처분을 한 사안에서 갑 회사의 행위가 구 지방세법 의4 에서 정한 ‘사기 기타 부정한 행위’라고 보기 어렵다고 한 사례,등록세등부과처분취소,대법원,2014.5.16.,2011두29168
상호저축은행법    상호저축은행법 시행령   가 포괄위임입법 금지원칙이나 명확성 원칙에 위배되는지 여부상호저축은행법 시행령   에서 정한 ‘대주주 또는 상호저축은행의 임원이 사실상 그 경영을 지배하고 있다고 인정되는 법인’에 대주주 등이 상호저축은행에 대한 지배력을 매개로 하여 상호저축은행을 통하여 경영을 지배하는 법인이 포함되는지 여부상호저축은행업 감독업무 시행세칙   전단에서 정한 ‘상호저축은행 대주주집단이 최다출자자인 기업’에 당해 상호저축은행도 포함되는지 여부불법행위로 인해 근저당권이 소멸된 경우 근저당권자가 입은 재산상 손해액 및 근저당권 이외의 담보권의 경우에도 동일한 법리가 적용되는지 여부갑 상호저축은행 경영진인 피고인이 영업정지가 임박한 상황에서 갑 저축은행에 파견되어 있던 금융감독원 감독관에게 알리지 아니한 채 영업마감 후에 특정 고액 예금채권자들에게 영업정지 예정사실을 알려주어 예금을 인출하도록 함으로써 파견감독관의 상시감독업무를 방해하였다는 내용으로 기소된 사안에서 피고인의 행위가 업무방해죄의 ‘위계’에 해당한다고 본 원심판단을 수긍한 사례허위 작성·공시된 재무제표를 이용한 사기적 부정거래로 인한 자본시장과 금융투자업에 관한 법률 위반죄와 허위 재무제표 작성·공시로 인한 주식회사의 외부감사에 관한 법률 위반죄의 죄수 관계,특정경제범죄가중처벌등에관한법률위반(횡령)·특정경제범죄가중처벌등에관한법률위반(배임)·상호저축은행법위반·주식회사의외부감사에관한법률위반·업무상배임·업무방해·자본시장과금융투자업에관한법률위반·뇌물공여·특정경제범죄가중처벌등에관한법률위반(사기)·상법위반,대법원,2013.1.24.,2012도10629
채무자의 기망행위로 인하여 채권자가 채무를 확정적으로 소멸 내지 면제시키는 특약 등 처분행위를 한 경우 채무의 면제라고 하는 재산상 이익에 관한 사기죄가 성립하는지 여부 및 후에 재산적 처분행위가 사기를 이유로 취소될 수 있다고 하여 달리 보아야 하는지 여부피고인이 피해자들을 기망하여 부동산을 매도하면서 매매대금 중 일부를 피해자들의 피고인에 대한 기존 채권과 상계하는 방법으로 지급받아 채무 소멸의 재산상 이익을 취득하였다는 내용으로 기소된 사안에서 피고인이 상계에 의하여 기존 채무가 소멸되는 재산상 이익을 취득하였다고 보아 사기죄를 인정한 원심판단을 정당하다고 한 사례,특정경제범죄가중처벌등에관한법률위반(사기)·사기·사문서위조·위조사문서행사·위증교사,대법원,2012.4.13.,2012도1101
이른바 LBO 방식으로 기업을 인수하면서 반대급부를 제공하지 않고 임의로 피인수기업의 자산을 담보로 제공한 경우 업무상배임죄가 성립하는지 여부 및 피인수기업이 회생절차를 밟고 있는 경우에도 동일한 법리가 적용되는지 여부,특정경제범죄가중처벌등에관한법률위반(횡령),대법원,2012.6.14.,2012도1283
사기죄가 성립하는지 판단하는 기준 시점 및 차주가 돈을 빌릴 당시에 변제할 의사와 능력을 가지고 있었으나 그 후 변제하지 않고 있는 경우 사기죄가 성립하는지 여부  대주가 장래의 변제 지체 또는 변제불능에 대한 위험을 예상하고 있었거나 충분히 예상할 수 있는 경우 차주가 그 후 제대로 변제하지 못하였다는 사실만으로 변제능력에 관하여 대주를 기망하였다거나 차주에게 편취의 범의가 있었다고 단정할 수 있는지 여부,사기,대법원,2016.4.28.,2012도14516
형사소송법  에서 정한 ‘특히 신빙할 수 있는 상태’의 의미 및 그 증명책임 소재와 증명의 정도검사가 제1심 증인신문 과정에서 증인 갑 등에게 주신문을 하면서 형사소송규칙상 허용되지 않는 유도신문을 하였다고 볼 여지가 있었는데 그 다음 공판기일에 재판장이 증인신문 결과 등을 각 공판조서에 의하여 고지하였음에도 피고인과 변호인이 ‘변경할 점과 이의할 점이 없다’고 진술한 사안에서 주신문의 하자가 치유되었다고 한 사례타인의 진술을 내용으로 하는 진술이 본래증거 또는 전문증거인지 판단하는 기준,특정경제범죄가중처벌등에관한법률위반(사기)(피고인2에대하여일부인정된죄명:사기)·사기·변호사법위반·횡령·업무상횡령,대법원,2012.7.26.,2012도2937
타인으로부터 용도나 목적이 엄격히 제한된 자금을 위탁받아 집행하면서 제한된 용도 이외의 목적으로 자금을 사용한 경우 횡령죄의 성립 여부 및 회사 경영자가 회사를 위하여 자금을 지출할 때 원래 사용될 이외의 목적으로 자금을 지출하였다는 사정만으로 횡령죄가 성립한다고 단정할 수 없는 경우갑 주식회사의 공동운영자인 피고인들이 을 주식회사의 자금집행 담당자 병과 공모하여 을 회사가 갑 회사와 체결한 선박건조계약에 따라 갑 회사로부터 지급받은 선박건조 선수금을 갑 회사의 대출금 변제 등 다른 용도에 사용하였다고 하여 업무상횡령으로 기소된 사안에서 위 선수금의 용도가 선박건조용으로 엄격하게 제한되어 있었다거나 병에게 불법영득의사가 있었다고 단정하기 어려운데도 이와 달리 보아 유죄를 인정한 원심판결에 법리오해의 위법이 있다고 한 사례,특정경제범죄가중처벌등에관한법률위반(횡령)·특정경제범죄가중처벌등에관한법률위반(사기)·업무상횡령·업무상배임·사기·사문서위조·위조사문서행사·자격모용사문서작성·자격모용작성사문서행사·배임증재,대법원,2012.5.24.,2012도535
공범자의 범인도피행위 도중에 기왕의 범인도피상태를 이용하여 스스로 범인도피행위를 계속한 경우 범인도피죄의 공동정범이 성립하는지 여부 및 이때 공범자의 범행을 방조한 종범의 경우에도 동일한 법리가 적용되는지 여부형사변호인이 의뢰인의 요청에 따른 변론행위라는 명목으로 수사기관이나 법원에 대하여 적극적으로 허위진술을 하거나 피고인 또는 피의자로 하여금 허위진술을 하도록 하는 것이 허용되는지 여부갑이 수사기관 및 법원에 출석하여 을 등의 사기 범행을 자신이 저질렀다는 취지로 허위자백하였는데 그 후 갑의 사기 피고사건 변호인으로 선임된 피고인이 갑과 공모하여 진범 을 등을 은폐하는 허위자백을 유지하게 함으로써 범인을 도피하게 하였다는 내용으로 기소된 사안에서 피고인에 대하여 범인도피방조죄를 인정한 원심판단을 정당하다고 한 사례,사기·범인도피교사·범인도피(피고인2에대하여인정된죄명:범인도피방조),대법원,2012.8.30.,2012도6027
형사소송법 에서 규정하는 자유심증주의의 의미와 한계국회의원인 피고인이 갑 주식회사 대표이사 을에게서 3차례에 걸쳐 불법정치자금을 수수하였다는 내용으로 기소되었는데 을이 검찰의 소환 조사에서는 자금을 조성하여 피고인에게 정치자금으로 제공하였다고 진술하였다가 제1심 법정에서는 이를 번복하여 자금 조성 사실은 시인하면서도 피고인에게 정치자금으로 제공한 사실을 부인하고 자금의 사용처를 달리 진술한 사안에서 자금 사용처에 관한 을의 검찰진술의 신빙성이 인정되므로 을의 검찰진술 등을 종합하여 공소사실을 모두 유죄로 인정한 원심판단에 자유심증주의의 한계를 벗어나는 등의 잘못이 없다고 한 사례,정치자금법위반,대법원,2015.8.20.,2013도11650
제1심에서 합의부 관할사건에 관하여 단독판사 관할사건으로 죄명 적용법조를 변경하는 공소장변경허가신청서가 제출되자 합의부가 사건을 단독판사에게 재배당한 사안에서 사건을 배당받은 합의부는 사건의 실체에 들어가 심판하였어야 하고 사건을 단독판사에게 재배당할 수 없다는 이유로 원심판결 및 제1심판결을 모두 파기하고 사건을 관할권이 있는 법원 제1심 합의부에 이송한 사례,사기·사문서위조·위조사문서행사·대부업등의등록및금융이용자보호에관한법률위반·특정경제범죄가중처벌등에관한법률위반(사기)(인정된죄명:사기),대법원,2013.4.25.,2013도1658
기소된 사기 공소사실의 재산상 피해자와 공소장에 기재된 피해자가 다른 것이 판명된 경우 법원이 취해야 할 조치허위의 근저당권자가 집행법원을 기망하여 원인무효이거나 피담보채권이 존재하지 않는 근저당권에 기해 채무자 또는 물상보증인 소유의 부동산에 대하여 임의경매신청을 하여 부동산 매각대금에 대한 배당절차에서 배당금을 지급받은 경우 집행법원의 배당표 작성과 이에 따른 배당금 교부행위가 매수인의 처분행위에 갈음하는 내용과 효력을 가지는지 여부피고인이 피해자 갑에 대한 대여금 채권이 없음에도 갑 명의의 차용증을 허위로 작성하고 갑 소유의 부동산에 관하여 피고인 앞으로 근저당권설정등기를 마친 다음 그에 기하여 부동산임의경매를 신청하여 배당금을 교부받아 편취하였다는 내용으로 기소된 사안에서 공소사실에 따른 실제 피해자는 부동산 매수인 을이므로 을에 대한 관계에서 사기죄가 성립함에도 진정한 피해자가 누구인지를 가려내지 않은 채 무죄로 판단한 원심판결에 법리오해의 잘못이 있다고 한 사례,사기,대법원,2017.6.19.,2013도564
타인의 사망을 보험사고로 하는 생명보험계약을 체결할 때 제3자가 피보험자인 것처럼 가장하여 체결하는 등으로 그 유효요건이 갖추어지지 못한 경우 보험계약을 체결한 행위만으로 보험금 편취를 위한 기망행위의 실행에 착수한 것으로 볼 수 있는지 여부정범의 실행의 착수 이전에 장래의 실행행위를 예상하고 이를 용이하게 하기 위하여 방조한 경우 종범이 성립하는지 여부,사기,대법원,2013.11.14.,2013도7494
구 국세기본법 의2  의 ‘사기 기타 부정한 행위’의 의미명의위장이 구 국세기본법 의2  의 ‘사기 기타 부정한 행위’에 해당하는 경우법인세법상 부당행위계산에 해당하는 거래임을 은폐하여 세무조정금액이 발생하지 않게 하기 위하여 부당행위계산의 대상이 되지 않는 자의 명의로 거래하고 적극적으로 서류를 조작하고 장부상 허위기재를 하는 경우 법인세 부과제척기간,법인세등부과처분취소,대법원,2013.12.12.,2013두7667
강제집행절차를 통한 소송사기에서 실행의 착수 시기  부동산에 관한 소유권이전등기청구권에 대한 강제집행절차에서 소송사기의 실행의 착수 시기,업무상횡령·사기·사기미수,대법원,2015.2.12.,2014도10086
보험계약자가 고지의무를 위반하여 보험회사와 보험계약을 체결한 경우 보험금 편취를 위한 고의의 기망행위를 인정하기 위한 요건 및 이때 사기죄의 기수시기피고인이 갑에게 이미 당뇨병과 고혈압이 발병한 상태임을 숨기고 을 생명보험 주식회사와 피고인을 보험계약자로 갑을 피보험자로 하는 2건의 보험계약을 체결한 다음 고지의무 위반을 이유로 을 회사로부터 일방적 해약이나 보험금 지급거절을 당할 수 없는 이른바 면책기간 2년을 도과한 이후 갑의 보험사고 발생을 이유로 을 회사에 보험금을 청구하여 당뇨병과 고혈압 치료비 등의 명목으로 14회에 걸쳐 보험금을 수령하여 편취하였다는 내용으로 기소된 사안에서 피고인의 보험계약 체결행위와 보험금 청구행위는 을 회사를 착오에 빠뜨려 처분행위를 하게 만드는 일련의 기망행위에 해당하고 을 회사가 그에 따라 보험금을 지급하였을 때 사기죄는 기수에 이른다고 한 사례,사기,대법원,2019.4.3.,2014도2754
다른 사람 명의의 예금계좌를 빌려 예금한 행위가 조세의 부과징수를 불능 또는 현저히 곤란하게 만든 것으로서 구 조세범처벌법  에서 정한 ‘사기 기타 부정한 행위’에 해당하는 경우명의를 위장하여 소득을 얻은 경우 명의위장 사실만으로 구 조세범처벌법  에서 정한 ‘사기 기타 부정한 행위’에 해당하는지 여부,특정경제범죄가중처벌등에관한법률위반(횡령)·특정경제범죄가중처벌등에관한법률위반(저축관련부당행위)·특정범죄가중처벌등에관한법률위반(조세)(피고인1에대하여일부인정된죄명및피고인2외국회사에대한죄명:조세범처벌법위반),대법원,2016.2.18.,2014도3411
구 국세기본법  에서 규정한 실질과세원칙의 의미  실질과세원칙이 거주자나 내국법인이 우리나라의 조세를 회피하기 위하여 조세피난처에 외형뿐인 이른바 ‘기지회사’를 설립하여 두고 그 법인형식만을 이용하는 국제거래에도 적용되는지 여부법인의 출자자가 사외유출된 법인의 소득을 확정적으로 자신에게 귀속시킨 경우 이러한 소득을 출자자에 대한 배당소득에 해당하는 것으로 추인할 수 있는지 여부구 조세범 처벌법  에서 말하는 ‘사기 기타 부정한 행위’의 의미 및 단순히 세법상의 신고를 하지 아니하거나 허위의 신고를 함에 그치는 행위가 여기에 해당하는지 여부  납세자가 명의를 위장하여 소득을 얻은 경우 명의위장 사실만으로 위 조항에서 정한 ‘사기 기타 부정한 행위’에 해당하는지 여부구 특정경제범죄 가중처벌 등에 관한 법률   후단에서 규정한 ‘국외에서의 은닉 또는 처분에 의한 재산국외도피죄’의 성립요건 및 위 조항에서 말하는 ‘국내에 반입하여야 할 재산’의 의미,특정범죄가중처벌등에관한법률위반(조세)(일부변경된죄명:조세범처벌법위반)·특정경제범죄가중처벌등에관한법률위반(재산국외도피),대법원,2018.11.9.,2014도9026
사기죄의 성립요건  사기죄의 주관적 구성요건인 불법영득의 의사 내지 편취의 범의 유무를 판단하는 기준  공사대금 등 편취에 의한 사기죄에서 편취의 범의가 있었는지 판단하는 기준 시점 및 판단 방법사기죄의 보호법익  기망행위에 의하여 국가적 또는 공공적 법익이 침해되었다는 사정만으로 사기죄가 성립하는지 여부  공사도급계약 당시 관련 영업 또는 업무를 규제하는 행정법규나 입찰 참가자격 계약절차 등에 관한 규정을 위반한 사정만으로 공사도급계약을 체결한 행위가 기망행위에 해당한다고 단정할 수 있는지 여부 및 이때 심리·판단하여야 할 사항,사기,대법원,2019.12.27.,2015도10570
전기통신금융사기로 피해자의 자금이 사기이용계좌로 송금·이체된 후 계좌에서 현금을 인출하기 위하여 정보처리장치에 사기이용계좌 명의인의 정보 등을 입력하는 행위가 전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 의2 에서 정한 구성요건에 해당하는지 여부,사기·전기통신금융사기피해방지및피해금환급에관한특별법위반·전자금융거래법위반,대법원,2016.2.19.,2015도15101
피고인 등이 피해자 갑 등에게 자동차를 매도하겠다고 거짓말하고 자동차를 양도하면서 매매대금을 편취한 다음 자동차에 미리 부착해 놓은 지피에스로 위치를 추적하여 자동차를 절취하였다고 하여 사기 및 특수절도로 기소된 사안에서 피고인에게 사기죄를 인정한 원심판결에 법리오해의 잘못이 있다고 한 사례,사기·특수절도,대법원,2016.3.24.,2015도17452
공동의 사기 범행으로 얻은 돈을 공범자끼리 수수한 행위가 공동정범들의 내부적인 분배행위에 지나지 않는 경우 돈의 수수행위가 따로 배임수증재죄를 구성하는지 여부공사 발주처의 입찰 업무를 처리하는 자가 공사업자와 공모하여 부정한 방법으로 낙찰하한가를 알아낸 다음 공사업자에게 알려주어 발주처가 공사업자를 낙찰자로 선정하도록 하여 공사계약의 체결에 이르게 하고 공사업자에게서 돈을 수수한 경우 돈의 성격을 타인의 업무에 관한 부정한 청탁의 대가로 볼 것인지 공동의 사기 범행에 따라 편취한 것으로 볼 것인지 판단하는 기준,배임증재·배임증재미수(변경된죄명:배임증재),대법원,2016.5.24.,2015도18795
갑 주식회사의 실질적 운영자이자 을 주식회사의 대표이사인 피고인 병 및 피고인 정 등이 공모하여 갑 회사가 시행하고 을 회사가 시공하는 아파트 중 임대아파트 부분의 신축과 관련하여 무 은행에 임대주택건설자금 대출을 신청하면서 아파트 부지의 매매가격을 부풀린 매매계약서 등을 제출하는 방법으로 무 은행을 기망하여 국민주택기금 대출금을 편취하였다는 내용으로 기소된 사안에서 피고인들이 아파트 부지의 매매가격을 부풀린 매매계약서 등을 제출한 행위와 무 은행의 대출 사이에 인과관계가 존재한다고 보기 어렵다고 한 사례,위조사문서행사·특정경제범죄가중처벌등에관한법률위반(사기)(피고인1에대하여일부인정된죄명:사기)·업무상횡령·특정경제범죄가중처벌등에관한법률위반(배임)·건설산업기본법위반·부동산실권리자명의등기에관한법률위반·특정경제범죄가중처벌등에관한법률위반(횡령)·사문서위조·정치자금법위반,대법원,2016.7.14.,2015도20233
구 조세범 처벌법  에서 말하는 ‘사기 기타 부정한 행위’의 의미 및 단순히 세법상의 신고를 하지 아니하거나 허위의 신고를 함에 그치는 행위가 여기에 해당하는지 여부형사소송에서 범죄사실에 관한 증명책임 소재 및 피고인에게 유죄를 인정하기 위한 증명의 정도피고인이 1978년경부터 갑 주식회사의 주식을 소유하면서 이를 을 병 등의 명의로 관리하다가 아들인 정 무에게 증여하였음에도 2004년 이후 허위의 소송을 제기하거나 국세청에 허위의 주주명부와 주권을 제출하는 등의 ‘사기 기타 부정한 행위’로써 늦어도 1991년 1994년경에 이미 증여한 것처럼 가장하는 방법으로 증여세를 포탈하였다고 하여 특정범죄 가중처벌 등에 관한 법률 위반으로 기소된 사안에서 피고인의 행위가 조세포탈죄에서 말하는 사기 기타 부정한 행위에 해당한다는 점을 검사가 증명하였다고 볼 수 없다고 한 사례,특정범죄가중처벌등에관한법률위반(조세),대법원,2018.6.19.,2015도3483
